ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
35232,Alabama,Birmingham,"Birmingham, AL",13820
35233,Alabama,Birmingham,"Birmingham, AL",13820
35234,Alabama,Birmingham,"Birmingham, AL",13820
35235,Alabama,Birmingham,"Birmingham, AL",13820
35236,Alabama,Birmingham,"Birmingham, AL",13820
35238,Alabama,Birmingham,"Birmingham, AL",13820
35242,Alabama,Birmingham,"Birmingham, AL",13820
35243,Alabama,Birmingham,"Birmingham, AL",13820
35244,Alabama,Birmingham,"Birmingham, AL",13820
35249,Alabama,Birmingham,"Birmingham, AL",13820
35253,Alabama,Birmingham,"Birmingham, AL",13820
35254,Alabama,Birmingham,"Birmingham, AL",13820
35255,Alabama,Birmingham,"Birmingham, AL",13820
35259,Alabama,Birmingham,"Birmingham, AL",13820
35260,Alabama,Birmingham,"Birmingham, AL",13820
35261,Alabama,Birmingham,"Birmingham, AL",13820
35266,Alabama,Birmingham,"Birmingham, AL",13820
35270,Alabama,Birmingham,"Birmingham, AL",13820
35285,Alabama,Birmingham,"Birmingham, AL",13820
35293,Alabama,Birmingham,"Birmingham, AL",13820
35294,Alabama,Birmingham,"Birmingham, AL",13820
35295,Alabama,Birmingham,"Birmingham, AL",13820
35401,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35402,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35403,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35404,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35405,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35406,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35407,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35440,Alabama,Abernant,"Tuscaloosa, AL",46220
35441,Alabama,Akron,"Tuscaloosa, AL",46220
35442,Alabama,Aliceville,"Tuscaloosa, AL",46220
35443,Alabama,Boligee,"Tuscaloosa, AL",46220
35444,Alabama,Brookwood,"Tuscaloosa, AL",46220
35446,Alabama,Buhl,"Tuscaloosa, AL",46220
35447,Alabama,Carrollton,"Tuscaloosa, AL",46220
35448,Alabama,Clinton,"Tuscaloosa, AL",46220
35449,Alabama,Coaling,"Tuscaloosa, AL",46220
35452,Alabama,Coker,"Tuscaloosa, AL",46220
35453,Alabama,Cottondale,"Tuscaloosa, AL",46220
35456,Alabama,Duncanville,"Tuscaloosa, AL",46220
35457,Alabama,Echola,"Tuscaloosa, AL",46220
35458,Alabama,Elrod,"Tuscaloosa, AL",46220
35459,Alabama,Emelle,,
35460,Alabama,Epes,,
35461,Alabama,Ethelsville,"Tuscaloosa, AL",46220
35462,Alabama,Eutaw,"Tuscaloosa, AL",46220
35463,Alabama,Fosters,"Tuscaloosa, AL",46220
35464,Alabama,Gainesville,,
35466,Alabama,Gordo,"Tuscaloosa, AL",46220
35469,Alabama,Knoxville,"Tuscaloosa, AL",46220
35470,Alabama,Livingston,,
35471,Alabama,Mc Shan,"Tuscaloosa, AL",46220
35473,Alabama,Northport,"Tuscaloosa, AL",46220
35474,Alabama,Moundville,"Tuscaloosa, AL",46220
35475,Alabama,Northport,"Tuscaloosa, AL",46220
35476,Alabama,Northport,"Tuscaloosa, AL",46220
35477,Alabama,Panola,,
35478,Alabama,Peterson,"Tuscaloosa, AL",46220
35480,Alabama,Ralph,"Tuscaloosa, AL",46220
35481,Alabama,Reform,"Tuscaloosa, AL",46220
35482,Alabama,Samantha,"Tuscaloosa, AL",46220
35486,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35487,Alabama,Tuscaloosa,"Tuscaloosa, AL",46220
35490,Alabama,Vance,"Tuscaloosa, AL",46220
35491,Alabama,West Greene,"Tuscaloosa, AL",46220
35501,Alabama,Jasper,"Birmingham, AL",13820
35502,Alabama,Jasper,"Birmingham, AL",13820
35503,Alabama,Jasper,"Birmingham, AL",13820
35504,Alabama,Jasper,"Birmingham, AL",13820
35540,Alabama,Addison,,
35541,Alabama,Arley,,
35542,Alabama,Bankston,,
35543,Alabama,Bear Creek,,
35544,Alabama,Beaverton,,
35545,Alabama,Belk,,
35546,Alabama,Berry,,
35548,Alabama,Brilliant,,
35549,Alabama,Carbon Hill,"Birmingham, AL",13820
35550,Alabama,Cordova,"Birmingham, AL",13820
35551,Alabama,Delmar,,
35552,Alabama,Detroit,,
35553,Alabama,Double Springs,,
35554,Alabama,Eldridge,,
35555,Alabama,Fayette,,
35559,Alabama,Glen Allen,,
35560,Alabama,Goodsprings,"Birmingham, AL",13820
35563,Alabama,Guin,,
35564,Alabama,Hackleburg,,
35565,Alabama,Haleyville,,
35570,Alabama,Hamilton,,
35571,Alabama,Hodges,"Russellville, AL",40770
35572,Alabama,Houston,,
35573,Alabama,Kansas,"Birmingham, AL",13820
35574,Alabama,Kennedy,,
35575,Alabama,Lynn,,
35576,Alabama,Millport,,
35577,Alabama,Natural Bridge,,
35578,Alabama,Nauvoo,"Birmingham, AL",13820
35579,Alabama,Oakman,"Birmingham, AL",13820
35580,Alabama,Parrish,"Birmingham, AL",13820
35581,Alabama,Phil Campbell,"Russellville, AL",40770
35582,Alabama,Red Bay,"Russellville, AL",40770
35584,Alabama,Sipsey,"Birmingham, AL",13820
35585,Alabama,Spruce Pine,"Russellville, AL",40770
35586,Alabama,Sulligent,,
35587,Alabama,Townley,"Birmingham, AL",13820
35592,Alabama,Vernon,,
35593,Alabama,Vina,"Russellville, AL",40770
35594,Alabama,Winfield,,
35601,Alabama,Decatur,"Decatur, AL",19460
35602,Alabama,Decatur,"Decatur, AL",19460
