County,State,State Abbreviation,County Population,FIPS - County Code,County Name Fragment,County % of State Population,State Population
Newton County,Arkansas,AR,7175,05101,newton-county-ar,0.00232324403225796,3088354
Ouachita County,Arkansas,AR,22317,05103,ouachita-county-ar,0.007226179382285839,3088354
Perry County,Arkansas,AR,10073,05105,perry-county-ar,0.0032616079633358093,3088354
Phillips County,Arkansas,AR,15910,05107,phillips-county-ar,0.005151611505675839,3088354
Pike County,Arkansas,AR,10182,05109,pike-county-ar,0.00329690184480147,3088354
Poinsett County,Arkansas,AR,22740,05111,poinsett-county-ar,0.007363145546138817,3088354
Polk County,Arkansas,AR,19348,05113,polk-county-ar,0.00626482585869366,3088354
Pope County,Arkansas,AR,63830,05115,pope-county-ar,0.020667967467460014,3088354
Prairie County,Arkansas,AR,8162,05117,prairie-county-ar,0.002642831747914909,3088354
Pulaski County,Arkansas,AR,398949,05119,pulaski-county-ar,0.12917852033801824,3088354
Randolph County,Arkansas,AR,18733,05121,randolph-county-ar,0.006065690655928692,3088354
St. Francis County,Arkansas,AR,22740,05123,st.-francis-county-ar,0.007363145546138817,3088354
Saline County,Arkansas,AR,125724,05125,saline-county-ar,0.04070906379255746,3088354
Scott County,Arkansas,AR,9839,05127,scott-county-ar,0.0031858394471618217,3088354
Searcy County,Arkansas,AR,7861,05129,searcy-county-ar,0.0025453688275372576,3088354
Sebastian County,Arkansas,AR,128448,05131,sebastian-county-ar,0.04159108703212132,3088354
Sevier County,Arkansas,AR,15797,05133,sevier-county-ar,0.005115022435899511,3088354
Sharp County,Arkansas,AR,17597,05135,sharp-county-ar,0.005697857175699418,3088354
Stone County,Arkansas,AR,12474,05137,stone-county-ar,0.004039044746813351,3088354
Union County,Arkansas,AR,38368,05139,union-county-ar,0.01242344627591267,3088354
Van Buren County,Arkansas,AR,15936,05141,van-buren-county-ar,0.005160030229695171,3088354
Washington County,Arkansas,AR,251863,05143,washington-county-ar,0.08155250337234657,3088354
White County,Arkansas,AR,77395,05145,white-county-ar,0.02506027482600764,3088354
Woodruff County,Arkansas,AR,6157,05147,woodruff-county-ar,0.0019936186071933463,3088354
Yell County,Arkansas,AR,20195,05149,yell-county-ar,0.006539081983477283,3088354
Alameda County,California,CA,1651949,06001,alameda-county-ca,0.04189439734659273,39431263
Alpine County,California,CA,1695,06003,alpine-county-ca,0.00004298619600391699,39431263
Amador County,California,CA,41029,06005,amador-county-ca,0.0010405195491709205,39431263
Butte County,California,CA,209470,06007,butte-county-ca,0.005312282287280526,39431263
Calaveras County,California,CA,45995,06009,calaveras-county-ca,0.0011664602272567328,39431263
Colusa County,California,CA,21895,06011,colusa-county-ca,0.0005552700657851106,39431263
Contra Costa County,California,CA,1161458,06013,contra-costa-county-ca,0.029455257367738893,39431263
Del Norte County,California,CA,27293,06015,del-norte-county-ca,0.0006921665177197088,39431263
El Dorado County,California,CA,192299,06017,el-dorado-county-ca,0.004876815637378899,39431263
Fresno County,California,CA,1012152,06019,fresno-county-ca,0.02566876947360271,39431263
Glenn County,California,CA,28623,06021,glenn-county-ca,0.0007258960992449063,39431263
Humboldt County,California,CA,135418,06023,humboldt-county-ca,0.0034342800533678063,39431263
Imperial County,California,CA,179319,06025,imperial-county-ca,0.004547635210163063,39431263
Inyo County,California,CA,18803,06027,inyo-county-ca,0.0004768551288859299,39431263
Kern County,California,CA,910433,06029,kern-county-ca,0.023089115862203045,39431263
Kings County,California,CA,152830,06031,kings-county-ca,0.00387585860488415,39431263
Lake County,California,CA,68139,06033,lake-county-ca,0.0017280450793574632,39431263
Lassen County,California,CA,31177,06035,lassen-county-ca,0.0007906670400083304,39431263
Los Angeles County,California,CA,9848406,06037,los-angeles-county-ca,0.24976136321070924,39431263
Madera County,California,CA,158790,06039,madera-county-ca,0.004027007707057215,39431263
Marin County,California,CA,258765,06041,marin-county-ca,0.00656243245365993,39431263
Mariposa County,California,CA,17060,06043,mariposa-county-ca,0.0004326516246765923,39431263
Mendocino County,California,CA,90709,06045,mendocino-county-ca,0.002300433541781302,39431263
Merced County,California,CA,285597,06047,merced-county-ca,0.007242907740490078,39431263
Modoc County,California,CA,8646,06049,modoc-county-ca,0.00021926764050139607,39431263
Mono County,California,CA,13169,06051,mono-county-ca,0.00033397357827468014,39431263
Monterey County,California,CA,435834,06053,monterey-county-ca,0.0110530063416939,39431263
Napa County,California,CA,136070,06055,napa-county-ca,0.003450815156491437,39431263
Nevada County,California,CA,102452,06057,nevada-county-ca,0.002598242922119943,39431263
Orange County,California,CA,3164063,06059,orange-county-ca,0.08024249692433133,39431263
Placer County,California,CA,412435,06061,placer-county-ca,0.01045959395213894,39431263
Plumas County,California,CA,19607,06063,plumas-county-ca,0.000497245041326726,39431263
Riverside County,California,CA,2449909,06065,riverside-county-ca,0.062131131838206656,39431263
Sacramento County,California,CA,1584047,06067,sacramento-county-ca,0.04017236272649953,39431263
San Benito County,California,CA,66056,06069,san-benito-county-ca,0.0016752189753597292,39431263
San Bernardino County,California,CA,2187816,06071,san-bernardino-county-ca,0.055484299348970895,39431263
San Diego County,California,CA,3282782,06073,san-diego-county-ca,0.08325328052515081,39431263
San Francisco County,California,CA,836321,06075,san-francisco-county-ca,0.021209591993033548,39431263
San Joaquin County,California,CA,787416,06077,san-joaquin-county-ca,0.019969332455823188,39431263
San Luis Obispo County,California,CA,281486,06079,san-luis-obispo-county-ca,0.007138650364813321,39431263
San Mateo County,California,CA,745100,06081,san-mateo-county-ca,0.018896173830394426,39431263
Santa Barbara County,California,CA,443975,06083,santa-barbara-county-ca,0.011259466885450766,39431263
Santa Clara County,California,CA,1903297,06085,santa-clara-county-ca,0.04826873032192755,39431263
Santa Cruz County,California,CA,266021,06087,santa-cruz-county-ca,0.006746448877379353,39431263
Shasta County,California,CA,181554,06089,shasta-county-ca,0.004604316123477962,39431263
Sierra County,California,CA,2731,06091,sierra-county-ca,0.00006925976477091287,39431263
Siskiyou County,California,CA,43834,06093,siskiyou-county-ca,0.0011116559974251902,39431263
Solano County,California,CA,450824,06095,solano-county-ca,0.011433161550011726,39431263
Sonoma County,California,CA,485642,06097,sonoma-county-ca,0.012316166489518736,39431263
Stanislaus County,California,CA,552250,06099,stanislaus-county-ca,0.014005384509240801,39431263
Sutter County,California,CA,98971,06101,sutter-county-ca,0.0025099627166393326,39431263
Tehama County,California,CA,65520,06103,tehama-county-ca,0.0016616257003991984,39431263
Trinity County,California,CA,15886,06105,trinity-county-ca,0.000402878294819012,39431263
Tulare County,California,CA,475774,06107,tulare-county-ca,0.01206590821095434,39431263
Tuolumne County,California,CA,54873,06109,tuolumne-county-ca,0.0013916115240843287,39431263
Ventura County,California,CA,838259,06111,ventura-county-ca,0.021258740811827406,39431263
Yolo County,California,CA,217782,06113,yolo-county-ca,0.005523079491519204,39431263
Yuba County,California,CA,83079,06115,yuba-county-ca,0.002106932258294643,39431263
Adams County,Colorado,CO,524408,08001,adams-county-co,0.08802494606372177,5957493
Alamosa County,Colorado,CO,16515,08003,alamosa-county-co,0.0027721392203062596,5957493
Arapahoe County,Colorado,CO,655709,08005,arapahoe-county-co,0.11006458589208581,5957493
Archuleta County,Colorado,CO,13730,08007,archuleta-county-co,0.0023046607020771994,5957493
Baca County,Colorado,CO,3460,08009,baca-county-co,0.0005807812111571092,5957493
Bent County,Colorado,CO,5524,08011,bent-county-co,0.0009272356677548761,5957493
Boulder County,Colorado,CO,328317,08013,boulder-county-co,0.05510992627267879,5957493
Broomfield County,Colorado,CO,75110,08014,broomfield-county-co,0.012607652245667766,5957493
Chaffee County,Colorado,CO,19876,08015,chaffee-county-co,0.003336302703167255,5957493
Cheyenne County,Colorado,CO,1732,08017,cheyenne-county-co,0.00029072631726130435,5957493
Clear Creek County,Colorado,CO,9358,08019,clear-creek-county-co,0.001570794963586193,5957493
Conejos County,Colorado,CO,7536,08021,conejos-county-co,0.0012649616206011488,5957493
Costilla County,Colorado,CO,3571,08023,costilla-county-co,0.0005994132095497217,5957493
Crowley County,Colorado,CO,5734,08025,crowley-county-co,0.0009624853944436024,5957493
Custer County,Colorado,CO,5073,08027,custer-county-co,0.000851532683294802,5957493
Delta County,Colorado,CO,31353,08029,delta-county-co,0.005262784194626834,5957493
Denver County,Colorado,CO,713734,08031,denver-county-co,0.11980442108786364,5957493
Dolores County,Colorado,CO,2385,08033,dolores-county-co,0.0004003361816791056,5957493
Douglas County,Colorado,CO,368283,08035,douglas-county-co,0.061818452829067526,5957493
Eagle County,Colorado,CO,55374,08037,eagle-county-co,0.009294849360292996,5957493
Elbert County,Colorado,CO,27152,08039,elbert-county-co,0.004557621805010933,5957493
El Paso County,Colorado,CO,736008,08041,el-paso-county-co,0.12354324209864787,5957493
Fremont County,Colorado,CO,49394,08043,fremont-county-co,0.008291071428871172,5957493
Garfield County,Colorado,CO,62034,08045,garfield-county-co,0.010412769263849743,5957493
Gilpin County,Colorado,CO,5877,08047,gilpin-county-co,0.0009864887797602113,5957493
Grand County,Colorado,CO,15794,08049,grand-county-co,0.0026511151586749663,5957493
Gunnison County,Colorado,CO,17158,08051,gunnison-county-co,0.002880070526310312,5957493
Hinsdale County,Colorado,CO,939,08053,hinsdale-county-co,0.00015761663505101895,5957493
Huerfano County,Colorado,CO,6946,08055,huerfano-county-co,0.0011659266741899654,5957493
Jackson County,Colorado,CO,1422,08057,jackson-county-co,0.00023869100643508938,5957493
Jefferson County,Colorado,CO,579715,08059,jefferson-county-co,0.09730854908264265,5957493
Kiowa County,Colorado,CO,1356,08061,kiowa-county-co,0.00022761252090434684,5957493
Kit Carson County,Colorado,CO,7015,08063,kit-carson-county-co,0.0011775087272448328,5957493
Lake County,Colorado,CO,7411,08065,lake-county-co,0.001243979640429288,5957493
La Plata County,Colorado,CO,56088,08067,la-plata-county-co,0.009414698431034665,5957493
Larimer County,Colorado,CO,363561,08069,larimer-county-co,0.061025837546095314,5957493
Las Animas County,Colorado,CO,14392,08071,las-animas-county-co,0.0024157812690673744,5957493
Lincoln County,Colorado,CO,5561,08073,lincoln-county-co,0.000933446333885747,5957493
Logan County,Colorado,CO,21067,08075,logan-county-co,0.0035362190102447458,5957493
Mesa County,Colorado,CO,157316,08077,mesa-county-co,0.02640640954173173,5957493
Mineral County,Colorado,CO,799,08079,mineral-county-co,0.00013411681725853476,5957493
Moffat County,Colorado,CO,13258,08081,moffat-county-co,0.0022254327449482527,5957493
Montezuma County,Colorado,CO,26204,08083,montezuma-county-co,0.00439849446738754,5957493
Montrose County,Colorado,CO,43272,08085,montrose-county-co,0.007263457967974112,5957493
Morgan County,Colorado,CO,29186,08087,morgan-county-co,0.004899040586367453,5957493
