Zillow_RegionID,Zillow_RegionName,Zillow_StateName,CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Code,Metropolitan Division Title,CSA Code,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Collin County,Texas,48,85
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Dallas County,Texas,48,113
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Denton County,Texas,48,121
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Ellis County,Texas,48,139
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Hunt County,Texas,48,231
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Kaufman County,Texas,48,257
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,19124,"Dallas-Plano-Irving, TX",206,"Dallas-Fort Worth, TX-OK",Rockwall County,Texas,48,397
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,23104,"Fort Worth-Arlington-Grapevine, TX",206,"Dallas-Fort Worth, TX-OK",Johnson County,Texas,48,251
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,23104,"Fort Worth-Arlington-Grapevine, TX",206,"Dallas-Fort Worth, TX-OK",Parker County,Texas,48,367
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,23104,"Fort Worth-Arlington-Grapevine, TX",206,"Dallas-Fort Worth, TX-OK",Tarrant County,Texas,48,439
394514,"Dallas, TX",TX,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,23104,"Fort Worth-Arlington-Grapevine, TX",206,"Dallas-Fort Worth, TX-OK",Wise County,Texas,48,497
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Austin County,Texas,48,15
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Brazoria County,Texas,48,39
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Chambers County,Texas,48,71
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Fort Bend County,Texas,48,157
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Galveston County,Texas,48,167
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Harris County,Texas,48,201
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Liberty County,Texas,48,291
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Montgomery County,Texas,48,339
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",San Jacinto County,Texas,48,407
394692,"Houston, TX",TX,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,,,288,"Houston-Pasadena, TX",Waller County,Texas,48,473
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Arlington County,Virginia,51,13
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Clarke County,Virginia,51,43
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Culpeper County,Virginia,51,47
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fairfax County,Virginia,51,59
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Fauquier County,Virginia,51,61
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Loudoun County,Virginia,51,107
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Prince William County,Virginia,51,153
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Rappahannock County,Virginia,51,157
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Spotsylvania County,Virginia,51,177
395209,"Washington, DC",VA,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,11694,"Arlington-Alexandria-Reston, VA-WV",548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Stafford County,Virginia,51,179
