Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Medford, OR",32780,Metropolitan Statistical Area,220768
"Gainesville, GA",23580,Metropolitan Statistical Area,217267
"Columbia, MO",17860,Metropolitan Statistical Area,216511
"Panama City-Panama City Beach, FL",37460,Metropolitan Statistical Area,216371
"Jacksonville, NC",27340,Metropolitan Statistical Area,213676
"Yuma, AZ",49740,Metropolitan Statistical Area,213221
"Johnson City, TN",27740,Metropolitan Statistical Area,213198
"Lexington Park, MD",30500,Metropolitan Statistical Area,210009
"Hilo-Kailua, HI",25900,Micropolitan Statistical Area,207615
"Chico, CA",17020,Metropolitan Statistical Area,207172
"Elkhart-Goshen, IN",21140,Metropolitan Statistical Area,206409
"Punta Gorda, FL",39460,Metropolitan Statistical Area,206134
"Springfield, IL",44100,Metropolitan Statistical Area,205445
"Joplin, MO-KS",27900,Metropolitan Statistical Area,204787
"Charleston, WV",16620,Metropolitan Statistical Area,203164
"St. Cloud, MN",41060,Metropolitan Statistical Area,202577
"St. George, UT",41100,Metropolitan Statistical Area,202452
"Auburn-Opelika, AL",12220,Metropolitan Statistical Area,201585
"Warner Robins, GA",47580,Metropolitan Statistical Area,200779
"Florence, SC",22500,Metropolitan Statistical Area,199630
"Houma-Bayou Cane-Thibodaux, LA",26380,Metropolitan Statistical Area,198672
"Racine-Mount Pleasant, WI",39540,Metropolitan Statistical Area,196613
"Billings, MT",13740,Metropolitan Statistical Area,191435
"Dover, DE",20100,Metropolitan Statistical Area,189789
"Bowling Green, KY",14540,Metropolitan Statistical Area,188840
"Saginaw, MI",40980,Metropolitan Statistical Area,187782
"Coeur d'Alene, ID",17660,Metropolitan Statistical Area,185010
"Yuba City, CA",49700,Metropolitan Statistical Area,183670
"Kingston, NY",28740,Metropolitan Statistical Area,182333
"Midland, TX",33260,Metropolitan Statistical Area,182324
"Jackson, TN",27180,Metropolitan Statistical Area,181826
"Abilene, TX",10180,Metropolitan Statistical Area,181591
"Blacksburg-Christiansburg-Radford, VA",13980,Metropolitan Statistical Area,181428
"Redding, CA",39820,Metropolitan Statistical Area,180366
"Iowa City, IA",26980,Metropolitan Statistical Area,180088
"Burlington, NC",15500,Metropolitan Statistical Area,179165
"El Centro, CA",20940,Metropolitan Statistical Area,179057
"Muskegon-Norton Shores, MI",34740,Metropolitan Statistical Area,176564
"Greenville, NC",24780,Metropolitan Statistical Area,175119
"Eau Claire, WI",20740,Metropolitan Statistical Area,174873
"Oshkosh-Neenah, WI",36780,Metropolitan Statistical Area,171735
"Bloomington, IL",14010,Metropolitan Statistical Area,170441
"La Crosse-Onalaska, WI-MN",29100,Metropolitan Statistical Area,170238
"Sebastian-Vero Beach-West Vero Corridor, FL",42680,Metropolitan Statistical Area,169795
"Pueblo, CO",39380,Metropolitan Statistical Area,169422
"Terre Haute, IN",45460,Metropolitan Statistical Area,168787
"Idaho Falls, ID",26820,Metropolitan Statistical Area,168322
"Waterloo-Cedar Falls, IA",47940,Metropolitan Statistical Area,168162
"Kenosha, WI",28450,Metropolitan Statistical Area,167488
"Homosassa Springs, FL",26140,Metropolitan Statistical Area,166696
"East Stroudsburg, PA",20700,Micropolitan Statistical Area,166053
"Odessa, TX",36220,Metropolitan Statistical Area,164494
"Janesville-Beloit, WI",27500,Metropolitan Statistical Area,164278
"Kahului-Wailuku, HI",27980,Metropolitan Statistical Area,164264
"Amherst Town-Northampton, MA",11200,Metropolitan Statistical Area,162502
"Bloomington, IN",14020,Metropolitan Statistical Area,160874
"Grand Junction, CO",24300,Metropolitan Statistical Area,159681
"Jackson, MI",27100,Metropolitan Statistical Area,159424
"Decatur, AL",19460,Metropolitan Statistical Area,158635
"Logan, UT-ID",30860,Metropolitan Statistical Area,157887
"Chambersburg, PA",16540,Metropolitan Statistical Area,157854
"State College, PA",44300,Metropolitan Statistical Area,157795
"Concord, NH",18180,Micropolitan Statistical Area,157103
"Traverse City, MI",45900,Metropolitan Statistical Area,156371
"Rapid City, SD",39660,Metropolitan Statistical Area,155974
"Santa Fe, NM",42140,Metropolitan Statistical Area,155956
"Hattiesburg, MS",25620,Metropolitan Statistical Area,155740
"Bangor, ME",12620,Metropolitan Statistical Area,155312
"Florence-Muscle Shoals, AL",22520,Metropolitan Statistical Area,155175
"Monroe, MI",33780,Metropolitan Statistical Area,155045
"Dothan, AL",20020,Metropolitan Statistical Area,153349
"Hanford-Corcoran, CA",25260,Metropolitan Statistical Area,152682
"Vineland, NJ",47220,Metropolitan Statistical Area,152326
"Niles, MI",35660,Metropolitan Statistical Area,152261
"Wildwood-The Villages, FL",48680,Metropolitan Statistical Area,151565
