Name (CSBA),CBSA Code,Metropolitan/Micropolitan Statistical Area,Population
"Andrews, TX",11380,Micropolitan Statistical Area,18664
"Bishop, CA",13860,Micropolitan Statistical Area,18527
"Hereford, TX",25820,Micropolitan Statistical Area,18347
"Spirit Lake, IA",44020,Micropolitan Statistical Area,18056
"Winnemucca, NV",49080,Micropolitan Statistical Area,17136
"Fitzgerald, GA",22340,Micropolitan Statistical Area,17128
"Baker City, OR",12520,Micropolitan Statistical Area,16912
"Spencer, IA",43980,Micropolitan Statistical Area,16511
"Snyder, TX",43660,Micropolitan Statistical Area,16212
"Atchison, KS",11860,Micropolitan Statistical Area,16016
"Vermillion, SD",46820,Micropolitan Statistical Area,15431
"Nantucket, MA",34880,Micropolitan Statistical Area,14444
"Sweetwater, TX",45020,Micropolitan Statistical Area,14306
"Ketchikan, AK",28540,Micropolitan Statistical Area,13738
"Zapata, TX",49820,Micropolitan Statistical Area,13736
"Vernon, TX",46900,Micropolitan Statistical Area,12522
"Town of Pecos, TX",45880,Micropolitan Statistical Area,11770
"Aguadilla, PR",10380,Metropolitan Statistical Area,
"Arecibo, PR",11640,Metropolitan Statistical Area,
"Guayama, PR",25020,Metropolitan Statistical Area,
"Mayagüez, PR",32420,Metropolitan Statistical Area,
"Ponce, PR",38660,Metropolitan Statistical Area,
"San Juan-Bayamón-Caguas, PR",41980,Metropolitan Statistical Area,
"Coamo, PR",17620,Micropolitan Statistical Area,
"Coco, PR",17640,Micropolitan Statistical Area,
"Lares, PR",29720,Micropolitan Statistical Area,
"Utuado, PR",46580,Micropolitan Statistical Area,
