geoid,name,state_abbreviation,unemployment_rate,employment_total,median_household_income,gdp,housing_permits
30,"Montana",MT,MTUR,MTNA,MEHOINUSMTA646N,MTRGSP,MTBPPRIVSA
31,"Nebraska",NE,NEUR,NENA,MEHOINUSNEA646N,NERGSP,NEBPPRIVSA
32,"Nevada",NV,NVUR,NVNA,MEHOINUSNVA646N,NVRGSP,NVBPPRIVSA
33,"New Hampshire",NH,NHUR,NHNA,MEHOINUSNHA646N,NHRGSP,NHBPPRIVSA
34,"New Jersey",NJ,NJUR,NJNA,MEHOINUSNJA646N,NJRGSP,NJBPPRIVSA
35,"New Mexico",NM,NMUR,NMNA,MEHOINUSNMA646N,NMRGSP,NMBPPRIVSA
36,"New York",NY,NYUR,NYNA,MEHOINUSNYA646N,NYRGSP,NYBPPRIVSA
37,"North Carolina",NC,NCUR,NCNA,MEHOINUSNCA646N,NCRGSP,NCBPPRIVSA
38,"North Dakota",ND,NDUR,NDNA,MEHOINUSNDA646N,NDRGSP,NDBPPRIVSA
39,"Ohio",OH,OHUR,OHNA,MEHOINUSOHA646N,OHRGSP,OHBPPRIVSA
40,"Oklahoma",OK,OKUR,OKNA,MEHOINUSOKA646N,OKRGSP,OKBPPRIVSA
41,"Oregon",OR,ORUR,ORNA,MEHOINUSORA646N,ORRGSP,ORBPPRIVSA
42,"Pennsylvania",PA,PAUR,PANA,MEHOINUSPAA646N,PARGSP,PABPPRIVSA
72,"Puerto Rico",PR,PRUR,PRNA,MEHOINUSPRA646N,PRRGSP,PRBPPRIVSA
44,"Rhode Island",RI,RIUR,RINA,MEHOINUSRIA646N,RIRGSP,RIBPPRIVSA
45,"South Carolina",SC,SCUR,SCNA,MEHOINUSSCA646N,SCRGSP,SCBPPRIVSA
46,"South Dakota",SD,SDUR,SDNA,MEHOINUSSDA646N,SDRGSP,SDBPPRIVSA
47,"Tennessee",TN,TNUR,TNNA,MEHOINUSTNA646N,TNRGSP,TNBPPRIVSA
48,"Texas",TX,TXUR,TXNA,MEHOINUSTXA646N,TXRGSP,TXBPPRIVSA
49,"Utah",UT,UTUR,UTNA,MEHOINUSUTA646N,UTRGSP,UTBPPRIVSA
50,"Vermont",VT,VTUR,VTNA,MEHOINUSVTA646N,VTRGSP,VTBPPRIVSA
78,"Virgin Islands",VI,VIUR,VINA,MEHOINUSVIA646N,VIRGSP,VIBPPRIVSA
51,"Virginia",VA,VAUR,VANA,MEHOINUSVAA646N,VARGSP,VABPPRIVSA
53,"Washington",WA,WAUR,WANA,MEHOINUSWAA646N,WARGSP,WABPPRIVSA
54,"West Virginia",WV,WVUR,WVNA,MEHOINUSWVA646N,WVRGSP,WVBPPRIVSA
55,"Wisconsin",WI,WIUR,WINA,MEHOINUSWIA646N,WIRGSP,WIBPPRIVSA
56,"Wyoming",WY,WYUR,WYNA,MEHOINUSWYA646N,WYRGSP,WYBPPRIVSA
